From	To
P30046	DDT
P30048	PRDX3
P30049	ATP5F1D
P30050	RPL12
P30084	ECHS1
P30085	CMPK1
P30086	PEBP1
P30101	PDIA3
P30153	PPP2R1A
P30520	ADSS2
P30533	LRPAP1
P30566	ADSL
P30837	ALDH1B1
P30876	POLR2B
P31040	SDHA
P31153	MAT2A
P31350	RRM2
P31689	DNAJA1
P31930	UQCRC1
P31939	ATIC
P31942	HNRNPH3
P31943	HNRNPH1
P31946	YWHAB
P31948	STIP1
P31949	S100A11
P32004	L1CAM
P32119	PRDX2
P32322	PYCR1
P32969	RPL9
P32969	RPL9P7
P32969	RPL9P8
P32969	RPL9P9
P33176	KIF5B
P33316	DUT
P33991	MCM4
P33992	MCM5
P33993	MCM7
P34897	SHMT2
P34932	HSPA4
P35030	PRSS3
P35080	PFN2
P35221	CTNNA1
P35222	CTNNB1
P35232	PHB1
P35241	RDX
P35244	RPA3
P35268	RPL22
P35520	CBS
P35579	MYH9
P35606	COPB2
P35610	SOAT1
P35611	ADD1
P35613	BSG
P35637	FUS
P35658	NUP214
P35659	DEK
P35998	PSMC2
P36405	ARL3
P36542	ATP5F1C
P36578	RPL4
P36776	LONP1
P36871	PGM1
P36873	PPP1CC
P36957	DLST
P36969	GPX4
P37108	SRP14
P37198	NUP62
P37268	FDFT1
P37802	TAGLN2
P37837	TALDO1
P38117	ETFB
P38159	RBMX
P38606	ATP6V1A
P38646	HSPA9
P38919	EIF4A3
P39019	RPS19
P39023	RPL3
P39656	DDOST
P39687	ANP32A
P39748	FEN1
P40121	CAPG
P40222	TXLNA
P40227	CCT6A
P40429	RPL13A
P40616	ARL1
P40925	MDH1
P40926	MDH2
P40938	RFC3
P40939	HADHA
P41091	EIF2S3
P41227	NAA10
P41250	GARS1
P41252	IARS1
P42166	TMPO
P42167	TMPO
P42285	MTREX
P42330	AKR1C3
P42677	RPS27
P42704	LRPPRC
P42766	RPL35
P43034	PAFAH1B1
P43243	MATR3
P43246	MSH2
P43307	SSR1
P43487	RANBP1
P43490	NAMPT
P43686	PSMC4
P43897	TSFM
P45880	VDAC2
P45973	CBX5
P45974	USP5
P46013	MKI67
P46060	RANGAP1
P46063	RECQL
P46087	NOP2
P46109	CRKL
P46379	BAG6
P46776	RPL27A
P46777	RPL5
P46778	RPL21
P46779	RPL28
P46781	RPS9
P46782	RPS5
P46783	RPS10
P46926	GNPDA1
P46940	IQGAP1
P46977	STT3A
P47755	CAPZA2
P47756	CAPZB
P47897	QARS1
P47914	RPL29
P47985	UQCRFS1
P48047	ATP5PO
P48147	PREP
P48444	ARCN1
P48556	PSMD8
P48643	CCT5
P48681	NES
P48735	IDH2
P49006	MARCKSL1
P49189	ALDH9A1
P49207	RPL34
P49257	LMAN1
P49321	NASP
P49327	FASN
P49368	CCT3
P49406	MRPL19
P49411	TUFM
P49419	ALDH7A1
P49458	SRP9
P49459	UBE2A
P49588	AARS1
P49589	CARS1
P49591	SARS1
P49643	PRIM2
P49720	PSMB3
P49721	PSMB2
P49736	MCM2
P49755	TMED10
P49756	RBM25
P49773	HINT1
P49790	NUP153
P49792	RANBP2
P49903	SEPHS1
P49915	GMPS
P49916	LIG3
P50213	IDH3A
P50395	GDI2
P50402	EMD
P50453	SERPINB9
P50454	SERPINH1
P50502	ST13
P50552	VASP
P50570	DNM2
P50897	PPT1
P50914	RPL14
P50990	CCT8
P50991	CCT4
P50995	ANXA11
P51114	FXR1
P51148	RAB5C
P51149	RAB7A
P51398	DAP3
P51571	SSR4
P51610	HCFC1
P51659	HSD17B4
P51665	PSMD7
P51858	HDGF
P51970	NDUFA8
P51991	HNRNPA3
P52209	PGD
P52272	HNRNPM
P52292	KPNA2
P52434	POLR2H
P52565	ARHGDIA
P52594	AGFG1
P52597	HNRNPF
P52655	GTF2A1
P52701	MSH6
P52732	KIF11
P52758	RIDA
P52788	SMS
P52815	MRPL12
P52907	CAPZA1
P52948	NUP98
P53004	BLVRA
P53007	SLC25A1
P53041	PPP5C
P53396	ACLY
P53618	COPB1
P53621	COPA
P53634	CTSC
P53985	SLC16A1
P53999	SUB1
P54105	CLNS1A
P54136	RARS1
P54577	YARS1
P54578	USP14
P54687	BCAT1
P54709	ATP1B3
P54725	RAD23A
P54727	RAD23B
P54819	AK2
P54886	ALDH18A1
P55010	EIF5
P55036	PSMD4
P55060	CSE1L
P55072	VCP
P55084	HADHB
P55145	MANF
P55209	NAP1L1
P55265	ADAR
P55327	TPD52
P55735	SEC13
P55769	SNU13
P55786	NPEPPS
P55809	OXCT1
P55854	SUMO3
P55884	EIF3B
P55957	BID
P56192	MARS1
P56211	ARPP19
P56385	ATP5ME
P56537	EIF6
P56545	CTBP2
P56556	NDUFA6
P56747	CLDN6
P58107	EPPK1
P58546	MTPN
P59998	ARPC4
P60059	SEC61G
P60174	TPI1
P60228	EIF3E
P60468	SEC61B
P60510	PPP4C
P60660	MYL6
P60709	ACTB
P60842	EIF4A1
P60866	RPS20
P60891	PRPS1
P60900	PSMA6
P60953	CDC42
P60981	DSTN
P60983	GMFB
P61006	RAB8A
P61009	SPCS3
P61019	RAB2A
P61026	RAB10
P61077	UBE2D3
P61081	UBE2M
P61086	UBE2K
P61088	UBE2N
P61158	ACTR3
P61160	ACTR2
P61163	ACTR1A
P61201	COPS2
P61204	ARF3
P61221	ABCE1
P61224	RAP1B
P61247	RPS3A
P61254	RPL26
P61289	PSME3
P61313	RPL15
P61326	MAGOH
P61353	RPL27
P61513	RPL37A
P61604	HSPE1
P61619	SEC61A1
P61758	VBP1
P61803	DAD1
P61923	COPZ1
P61970	NUTF2
P61978	HNRNPK
P61981	YWHAG
P62070	RRAS2
P62081	RPS7
P62136	PPP1CA
P62191	PSMC1
